,document,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,
394,INTRACE3,NA,NA,NA,NA,
395,INTSCI,NA,NA,NA,NA,
396,INTSEX,NA,NA,NA,NA,
397,INTSPACE,NA,NA,NA,NA,
398,INTTECH,NA,NA,NA,NA,
399,INTYRS,NA,NA,NA,NA,
400,ISCO08,NA,NA,NA,NA,
401,ISCO88,NA,NA,NA,NA,
402,ISSP,NA,NA,NA,NA,
403,Jew,NA,NA,NA,NA,
404,Jew16,NA,NA,NA,NA,
405,JEWS,NA,NA,NA,NA,
406,JOBFIND,9.209473684,38.39,6,2.87,1
407,JOBFIND1,NA,NA,NA,NA,
408,JOBLOSE,12.89428571,37.13571429,9,4.625,1
409,JOBSECOK,NA,NA,NA,NA,
410,KIDPARS,NA,NA,NA,NA,
411,KIDSINHH,NA,NA,NA,NA,
412,KIDSSOL,NA,NA,NA,NA,
413,KNOWSCHD,NA,NA,NA,NA,
414,KNOWWHAT,NA,NA,NA,NA,
415,KNWBUS,NA,NA,NA,NA,
416,KNWCLENR,NA,NA,NA,NA,
417,KNWCOP,NA,NA,NA,NA,
418,KNWCUTTR,NA,NA,NA,NA,
419,KNWEXEC,NA,NA,NA,NA,
420,KNWHRMAN,NA,NA,NA,NA,
421,KNWLAWYR,NA,NA,NA,NA,
422,KNWMCHNC,NA,NA,NA,NA,
423,KNWMW1,NA,NA,NA,NA,
424,KNWMW2,NA,NA,NA,NA,
425,KNWMW3,NA,NA,NA,NA,
426,KNWMW4,NA,NA,NA,NA,
427,KNWMW5,NA,NA,NA,NA,
428,KNWNURSE,NA,NA,NA,NA,
429,KNWTCHER,NA,NA,NA,NA,
430,LAIDOFF,NA,NA,NA,NA,
431,LASERS,NA,NA,NA,NA,
432,LEARNNEW,NA,NA,NA,NA,
433,LETDIE1,13.85555556,25.96555556,10,5.34,1
434,LETIN1A,8.756666667,39.88666667,4,-0.42,1
435,LIBATH,14.95875,33.01375,11,5.22,1
436,LIBCOM,6.936363636,47.77363636,3.666666667,0.975,1
437,LIBHOMO,15.77666667,33.8,10,4.5,1
438,LIBMIL,9.223684211,42.76,5.333333333,1.793333333,1
439,LIBMSLM,15.59142857,28.99285714,11,6.375,1
440,LIBRAC,14.80121212,32.59363636,9,5.595,1
441,LIFE,6.936363636,47.77363636,4,-0.675,1
442,LIFEIN5,NA,NA,NA,NA,
443,LIFENOW,NA,NA,NA,NA,
444,LIVEBLKS,11.37692308,31.51153846,9,7.491666667,1
445,LNGTHINV,NA,NA,NA,NA,
446,LOCALNUM,8.098181818,38.76636364,4.333333333,2.753333333,1
447,LONELY1,5.4,17.335,2,-0.06,1
448,LONELY2,6.507777778,25.19111111,3,0.3,1
449,LONELY3,NA,NA,NA,NA,
450,MADEG,NA,NA,NA,NA,
451,MADENKID,NA,NA,NA,NA,
452,MAEDUC,NA,NA,NA,NA,
453,MAIND10,NA,NA,NA,NA,
454,MAISCO08,NA,NA,NA,NA,
455,MAISCO88,NA,NA,NA,NA,
456,MAJOR1,NA,NA,NA,NA,
457,MAJOR2,NA,NA,NA,NA,
458,MAJORCOL,NA,NA,NA,NA,
459,MAKEFRND,NA,NA,NA,NA,
460,MALEORNT,NA,NA,NA,NA,
461,MANVSEMP,NA,NA,NA,NA,
462,MAOCC10,NA,NA,NA,NA,
463,MAPRES10,NA,NA,NA,NA,
464,MAPRES105PLUS,NA,NA,NA,NA,
465,1-Mar,NA,NA,NA,NA,
466,11-Mar,NA,NA,NA,NA,
467,12-Mar,NA,NA,NA,NA,
468,2-Mar,NA,NA,NA,NA,
469,3-Mar,NA,NA,NA,NA,
470,4-Mar,NA,NA,NA,NA,
471,5-Mar,NA,NA,NA,NA,
472,6-Mar,NA,NA,NA,NA,
473,7-Mar,NA,NA,NA,NA,
474,8-Mar,NA,NA,NA,NA,
475,9-Mar,NA,NA,NA,NA,
476,MARAsian,11.22727273,39.13727273,7,-0.675,1
477,MARBLK,7.19,47.6,5,-0.9,1
478,MARCOHAB,NA,NA,NA,NA,
479,MARELKID,NA,NA,NA,NA,
480,MARHISP,10.72333333,31.97,7,-0.42,1
481,MARHOMO,10.20888889,36.67888889,4,-0.915,1
482,MARITAL,10.35692308,33.10692308,7,-0.395,1
