"","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI"
"439","LIBMSLM",15.5914285714286,28.9928571428571,11,6.375
"440","LIBRAC",14.8012121212121,32.5936363636364,9,5.595
"441","LIFE",6.93636363636364,47.7736363636364,4,-0.675
"442","LIFEIN5",NA,NA,NA,NA
"443","LIFENOW",NA,NA,NA,NA
"444","LIVEBLKS",11.3769230769231,31.5115384615385,9,7.49166666666667
"445","LNGTHINV",NA,NA,NA,NA
"446","LOCALNUM",8.09818181818182,38.7663636363636,4.33333333333333,2.75333333333333
"447","LONELY1",5.4,17.335,2,-0.0600000000000001
"448","LONELY2",6.50777777777778,25.1911111111111,3,0.3
"449","LONELY3",NA,NA,NA,NA
"450","MADEG",NA,NA,NA,NA
"451","MADENKID",NA,NA,NA,NA
"452","MAEDUC",NA,NA,NA,NA
"453","MAIND10",NA,NA,NA,NA
"454","MAISCO08",NA,NA,NA,NA
"455","MAISCO88",NA,NA,NA,NA
"456","MAJOR1",NA,NA,NA,NA
"457","MAJOR2",NA,NA,NA,NA
"458","MAJORCOL",NA,NA,NA,NA
"459","MAKEFRND",NA,NA,NA,NA
"460","MALEORNT",NA,NA,NA,NA
"461","MANVSEMP",NA,NA,NA,NA
"462","MAOCC10",NA,NA,NA,NA
"463","MAPRES10",NA,NA,NA,NA
"464","MAPRES105PLUS",NA,NA,NA,NA
"465","1-Mar",NA,NA,NA,NA
"466","11-Mar",NA,NA,NA,NA
"467","12-Mar",NA,NA,NA,NA
"468","2-Mar",NA,NA,NA,NA
"469","3-Mar",NA,NA,NA,NA
"470","4-Mar",NA,NA,NA,NA
"471","5-Mar",NA,NA,NA,NA
"472","6-Mar",NA,NA,NA,NA
"473","7-Mar",NA,NA,NA,NA
"474","8-Mar",NA,NA,NA,NA
"475","9-Mar",NA,NA,NA,NA
"476","MARAsian",11.2272727272727,39.1372727272727,7,-0.675
"477","MARBLK",7.19,47.6,5,-0.9
"478","MARCOHAB",NA,NA,NA,NA
"479","MARELKID",NA,NA,NA,NA
"480","MARHISP",10.7233333333333,31.97,7,-0.42
"481","MARHOMO",10.2088888888889,36.6788888888889,4,-0.915
"482","MARITAL",10.3569230769231,33.1069230769231,7,-0.395
"483","MARTYPE",NA,NA,NA,NA
"484","MARWHT",10.7621052631579,35.89,9.5,2.87
"485","MASEI10",NA,NA,NA,NA
"486","MASEI10EDUC",NA,NA,NA,NA
"487","MASEI10INC",NA,NA,NA,NA
"488","MATESEX",NA,NA,NA,NA
"489","MAWRKGRW",NA,NA,NA,NA
"490","MAWRKSLF",NA,NA,NA,NA
"491","MCSDS1",NA,NA,NA,NA
"492","MCSDS2",NA,NA,NA,NA
"493","MCSDS3",NA,NA,NA,NA
"494","MCSDS4",NA,NA,NA,NA
"495","MCSDS5",NA,NA,NA,NA
"496","MCSDS6",NA,NA,NA,NA
"497","MCSDS7",NA,NA,NA,NA
"498","MEDDOC",NA,NA,NA,NA
"499","MENTLDOC",NA,NA,NA,NA
"500","MENTLHOS",NA,NA,NA,NA
"501","MENTLILL",NA,NA,NA,NA
"502","MENTLOTH",NA,NA,NA,NA
"503","MEOVRWRK",7.77333333333333,47.8033333333333,5,-0.54
"504","mhdiagno",NA,NA,NA,NA
"505","MHP1R1",NA,NA,NA,NA
"506","MHP1R2",NA,NA,NA,NA
"507","MHP2R1",NA,NA,NA,NA
"508","MHP2R2",NA,NA,NA,NA
"509","MHP3R1",NA,NA,NA,NA
"510","MHP3R2",NA,NA,NA,NA
"511","MHP4R1",NA,NA,NA,NA
"512","MHP4R2",NA,NA,NA,NA
"513","MHP5R1",NA,NA,NA,NA
"514","MHP5R2",NA,NA,NA,NA
"515","MHTREAT1",NA,NA,NA,NA
"516","MHTREAT2",NA,NA,NA,NA
"517","MHTREAT3",NA,NA,NA,NA
"518","MHTREAT4",NA,NA,NA,NA
"519","MHTREAT5",NA,NA,NA,NA
"520","MHTREATD",NA,NA,NA,NA
"521","MHUNSURE",NA,NA,NA,NA
"522","MIRACLES",NA,NA,NA,NA
"523","MISSWORK",NA,NA,NA,NA
"524","MNTHSUSA",NA,NA,NA,NA
"525","MNTLHLTH",NA,NA,NA,NA
"526","MOBILE16",NA,NA,NA,NA
"527","MODE",NA,NA,NA,NA
"528","MOREDAYS",NA,NA,NA,NA
"529","MUSLIMS",NA,NA,NA,NA
"530","MUSTDOC",NA,NA,NA,NA
"531","MUSTHOSP",NA,NA,NA,NA
"532","MUSTMED",NA,NA,NA,NA
"533","MUSTWORK",NA,NA,NA,NA
"534","MYGOALS",NA,NA,NA,NA
